date,season,year,month,days,workingday,weather,temperature,atemp,humidity,windspeed,casual,registered,count,kelembapan
2011-01-01,Spring,2011,January,Sunday,Weekend / Holiday,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",14.1,18.2,80.6,10.7,331,654,985,Too Dry
2011-01-02,Spring,2011,January,Monday,Weekend / Holiday,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",14.9,17.7,69.6,16.7,131,670,801,Too Dry
2011-01-03,Spring,2011,January,Tuesday,Working Day,Clear / Partly cloudy,8.1,9.5,43.7,16.6,120,1229,1349,Too Humid
2011-01-04,Spring,2011,January,Wednesday,Working Day,Clear / Partly cloudy,8.2,10.6,59.0,10.7,108,1454,1562,Normal
2011-01-05,Spring,2011,January,Thursday,Working Day,Clear / Partly cloudy,9.3,11.5,43.7,12.5,82,1518,1600,Too Humid
2011-01-06,Spring,2011,January,Friday,Working Day,Clear / Partly cloudy,8.4,11.7,51.8,6.0,88,1518,1606,Normal
2011-01-07,Spring,2011,January,Saturday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.1,10.4,49.9,11.3,148,1362,1510,Normal
2011-01-08,Spring,2011,January,Sunday,Weekend / Holiday,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.8,8.1,53.6,17.9,68,891,959,Normal
2011-01-09,Spring,2011,January,Monday,Weekend / Holiday,Clear / Partly cloudy,5.7,5.8,43.4,24.3,54,768,822,Too Humid
2011-01-10,Spring,2011,January,Tuesday,Working Day,Clear / Partly cloudy,6.2,7.5,48.3,15.0,41,1280,1321,Normal
2011-01-11,Spring,2011,January,Wednesday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",6.9,9.6,68.6,8.2,43,1220,1263,Too Dry
2011-01-12,Spring,2011,January,Thursday,Working Day,Clear / Partly cloudy,7.1,8.0,60.0,20.4,25,1137,1162,Normal
2011-01-13,Spring,2011,January,Friday,Working Day,Clear / Partly cloudy,6.8,7.5,47.0,20.2,38,1368,1406,Normal
2011-01-14,Spring,2011,January,Saturday,Working Day,Clear / Partly cloudy,6.6,9.4,53.8,8.5,54,1367,1421,Normal
2011-01-15,Spring,2011,January,Sunday,Weekend / Holiday,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",9.6,12.4,49.9,10.6,222,1026,1248,Normal
2011-01-16,Spring,2011,January,Monday,Weekend / Holiday,Clear / Partly cloudy,9.5,11.7,48.4,12.6,251,953,1204,Normal
2011-01-17,Spring,2011,January,Tuesday,Weekend / Holiday,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.2,8.8,53.8,13.0,117,883,1000,Normal
2011-01-18,Spring,2011,January,Wednesday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.9,11.6,86.2,9.8,9,674,683,Too Dry
2011-01-19,Spring,2011,January,Thursday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.0,14.9,74.2,14.0,78,1572,1650,Too Dry
2011-01-20,Spring,2011,January,Friday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.7,12.8,53.8,13.1,83,1844,1927,Normal
2011-01-21,Spring,2011,January,Saturday,Working Day,Clear / Partly cloudy,7.3,7.9,45.7,23.7,75,1468,1543,Normal
2011-01-22,Spring,2011,January,Sunday,Weekend / Holiday,Clear / Partly cloudy,2.4,4.0,40.0,11.5,93,888,981,Too Humid
2011-01-23,Spring,2011,January,Monday,Weekend / Holiday,Clear / Partly cloudy,4.0,4.9,43.7,16.5,150,836,986,Too Humid
2011-01-24,Spring,2011,January,Tuesday,Working Day,Clear / Partly cloudy,4.0,5.9,49.2,10.6,86,1330,1416,Normal
2011-01-25,Spring,2011,January,Wednesday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",9.2,11.7,61.7,8.7,186,1799,1985,Normal
2011-01-26,Spring,2011,January,Thursday,Working Day,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",8.9,10.2,86.2,19.7,34,472,506,Too Dry
2011-01-27,Spring,2011,January,Friday,Working Day,Clear / Partly cloudy,8.0,11.0,68.8,7.6,15,416,431,Too Dry
2011-01-28,Spring,2011,January,Saturday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.3,11.2,79.3,8.3,38,1129,1167,Too Dry
2011-01-29,Spring,2011,January,Sunday,Weekend / Holiday,Clear / Partly cloudy,8.1,10.6,65.2,9.7,123,975,1098,Too Dry
2011-01-30,Spring,2011,January,Monday,Weekend / Holiday,Clear / Partly cloudy,8.9,12.5,72.2,5.0,140,956,1096,Too Dry
2011-01-31,Spring,2011,January,Tuesday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.4,9.3,60.4,12.5,42,1459,1501,Normal
2011-02-01,Spring,2011,February,Wednesday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",7.9,11.7,83.0,3.6,47,1313,1360,Too Dry
2011-02-02,Spring,2011,February,Thursday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.7,12.7,77.5,17.7,72,1454,1526,Too Dry
2011-02-03,Spring,2011,February,Friday,Working Day,Clear / Partly cloudy,7.7,8.9,43.8,18.6,61,1489,1550,Too Humid
2011-02-04,Spring,2011,February,Saturday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.7,11.4,58.5,8.6,88,1620,1708,Normal
2011-02-05,Spring,2011,February,Sunday,Weekend / Holiday,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",9.6,12.2,92.9,10.8,100,905,1005,Too Dry
2011-02-06,Spring,2011,February,Monday,Weekend / Holiday,Clear / Partly cloudy,11.7,14.6,56.8,9.5,354,1269,1623,Normal
2011-02-07,Spring,2011,February,Tuesday,Working Day,Clear / Partly cloudy,11.1,15.2,73.8,3.0,120,1592,1712,Too Dry
2011-02-08,Spring,2011,February,Wednesday,Working Day,Clear / Partly cloudy,9.1,9.9,53.8,24.3,64,1466,1530,Normal
2011-02-09,Spring,2011,February,Thursday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",5.5,7.2,49.5,12.7,53,1552,1605,Normal
2011-02-10,Spring,2011,February,Friday,Working Day,Clear / Partly cloudy,5.9,7.5,43.7,14.9,47,1491,1538,Too Humid
2011-02-11,Spring,2011,February,Saturday,Working Day,Clear / Partly cloudy,7.8,10.7,50.6,7.3,149,1597,1746,Normal
2011-02-12,Spring,2011,February,Sunday,Weekend / Holiday,Clear / Partly cloudy,9.1,11.6,54.4,13.6,288,1184,1472,Normal
2011-02-13,Spring,2011,February,Monday,Weekend / Holiday,Clear / Partly cloudy,13.0,16.2,45.7,17.5,397,1192,1589,Normal
2011-02-14,Spring,2011,February,Tuesday,Working Day,Clear / Partly cloudy,17.0,19.9,37.6,28.0,208,1705,1913,Too Humid
2011-02-15,Spring,2011,February,Wednesday,Working Day,Clear / Partly cloudy,10.9,12.7,31.4,19.5,140,1675,1815,Too Humid
2011-02-16,Spring,2011,February,Thursday,Working Day,Clear / Partly cloudy,13.0,15.8,42.3,16.9,218,1897,2115,Too Humid
2011-02-17,Spring,2011,February,Friday,Working Day,Clear / Partly cloudy,17.9,21.4,50.5,15.4,259,2216,2475,Normal
2011-02-18,Spring,2011,February,Saturday,Working Day,Clear / Partly cloudy,21.4,25.6,51.7,17.7,579,2348,2927,Normal
2011-02-19,Spring,2011,February,Sunday,Weekend / Holiday,Clear / Partly cloudy,16.4,19.6,18.8,34.0,532,1103,1635,Too Humid
2011-02-20,Spring,2011,February,Monday,Weekend / Holiday,Clear / Partly cloudy,11.7,13.9,40.8,15.0,639,1173,1812,Too Humid
2011-02-21,Spring,2011,February,Tuesday,Weekend / Holiday,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.4,14.2,60.5,20.6,195,912,1107,Normal
2011-02-22,Spring,2011,February,Wednesday,Working Day,Clear / Partly cloudy,7.5,9.3,57.8,13.1,74,1376,1450,Normal
2011-02-23,Spring,2011,February,Thursday,Working Day,Clear / Partly cloudy,9.1,12.3,42.3,6.3,139,1778,1917,Too Humid
2011-02-24,Spring,2011,February,Friday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.1,14.5,69.7,16.8,100,1707,1807,Too Dry
2011-02-25,Spring,2011,February,Saturday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",14.9,17.5,71.2,23.2,120,1341,1461,Too Dry
2011-02-26,Spring,2011,February,Sunday,Weekend / Holiday,Clear / Partly cloudy,11.6,14.1,53.8,12.5,424,1545,1969,Normal
2011-02-27,Spring,2011,February,Monday,Weekend / Holiday,Clear / Partly cloudy,14.1,17.6,68.0,8.4,694,1708,2402,Too Dry
2011-02-28,Spring,2011,February,Tuesday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",16.7,20.0,87.6,19.4,81,1365,1446,Too Dry
2011-03-01,Spring,2011,March,Wednesday,Working Day,Clear / Partly cloudy,10.9,13.2,53.5,14.5,137,1714,1851,Normal
2011-03-02,Spring,2011,March,Thursday,Working Day,Clear / Partly cloudy,13.7,16.0,45.0,20.6,231,1903,2134,Too Humid
2011-03-03,Spring,2011,March,Friday,Working Day,Clear / Partly cloudy,8.1,10.0,31.8,15.1,123,1562,1685,Too Humid
2011-03-04,Spring,2011,March,Saturday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.7,12.8,61.0,13.6,214,1730,1944,Normal
2011-03-05,Spring,2011,March,Sunday,Weekend / Holiday,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",15.8,18.9,78.9,16.9,640,1437,2077,Too Dry
2011-03-06,Spring,2011,March,Monday,Weekend / Holiday,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",15.4,18.3,94.8,23.0,114,491,605,Too Dry
2011-03-07,Spring,2011,March,Tuesday,Working Day,Clear / Partly cloudy,10.7,11.9,55.1,22.9,244,1628,1872,Normal
2011-03-08,Spring,2011,March,Wednesday,Working Day,Clear / Partly cloudy,12.0,15.1,42.1,8.1,316,1817,2133,Too Humid
2011-03-09,Spring,2011,March,Thursday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.1,14.3,77.5,14.8,191,1700,1891,Too Dry
2011-03-10,Spring,2011,March,Friday,Working Day,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",16.0,19.3,0.0,17.5,46,577,623,
2011-03-11,Spring,2011,March,Saturday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.0,15.2,65.0,15.6,247,1730,1977,Normal
2011-03-12,Spring,2011,March,Sunday,Weekend / Holiday,Clear / Partly cloudy,13.5,16.3,59.5,14.8,724,1408,2132,Normal
2011-03-13,Spring,2011,March,Monday,Weekend / Holiday,Clear / Partly cloudy,15.8,19.0,52.7,18.1,982,1435,2417,Normal
2011-03-14,Spring,2011,March,Tuesday,Working Day,Clear / Partly cloudy,13.3,16.6,49.7,9.2,359,1687,2046,Normal
2011-03-15,Spring,2011,March,Wednesday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.0,15.9,65.6,12.3,289,1767,2056,Too Dry
2011-03-16,Spring,2011,March,Thursday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",15.0,18.3,77.7,13.6,321,1871,2192,Too Dry
2011-03-17,Spring,2011,March,Friday,Working Day,Clear / Partly cloudy,17.0,20.5,60.3,14.0,424,2320,2744,Normal
2011-03-18,Spring,2011,March,Saturday,Working Day,Clear / Partly cloudy,22.1,26.4,52.5,15.5,884,2355,3239,Normal
2011-03-19,Spring,2011,March,Sunday,Weekend / Holiday,Clear / Partly cloudy,19.4,23.3,37.9,24.7,1424,1693,3117,Too Humid
2011-03-20,Spring,2011,March,Monday,Weekend / Holiday,Clear / Partly cloudy,13.6,16.3,47.4,13.9,1047,1424,2471,Normal
2011-03-21,Summer,2011,March,Tuesday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",17.6,20.5,73.7,19.3,401,1676,2077,Too Dry
2011-03-22,Summer,2011,March,Wednesday,Working Day,Clear / Partly cloudy,18.1,22.0,62.5,15.1,460,2243,2703,Normal
2011-03-23,Summer,2011,March,Thursday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",14.2,16.9,84.0,15.7,203,1918,2121,Too Dry
2011-03-24,Summer,2011,March,Friday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",11.7,13.5,80.6,16.3,166,1699,1865,Too Dry
2011-03-25,Summer,2011,March,Saturday,Working Day,Clear / Partly cloudy,10.8,12.8,49.5,15.5,300,1910,2210,Normal
2011-03-26,Summer,2011,March,Sunday,Weekend / Holiday,Clear / Partly cloudy,10.9,12.9,39.4,14.0,981,1515,2496,Too Humid
